nbeam xfoc(cm) yfoc(cm) zfoc(cm)
10 0.04085172806624721 -0.001426573779140974 0.014877876234666593
11 0.01764272076375979 0.025196416492271258 0.030759144981614816
12 0.03162038176967284 0.006721119627655108 -0.029107181376610315
13 0.016380169837666804 0.03512738757599839 0.019748586738670283
14 0.01381927176339938 0.034203897865376816 -0.023051487994144408
15 0.0 -0.0 0.0
16 0.0 -0.0 -0.0
17 0.013372146581294195 -0.006522031666776759 0.040876629004187016
18 0.002218264624764003 0.04232701051467396 -0.009785370863958118
19 0.0 -0.0 -0.0
20 0.03749482180841571 0.01218280611229738 0.018383894385720426
21 0.0 -0.0 -0.0
22 0.0030932844037268874 0.01455275894295363 0.040876629004187016
23 0.035127387575998405 0.017898297944225598 -0.01838389438572042
24 0.010483556974068177 0.042047250427229385 0.0037912748095231385
25 -0.0031032985793805683 0.011581667969304595 -0.041814883773316866
26 0.005434634166772531 -0.03431292970216485 0.026178953507114102
27 0.041105002718510156 0.014153587480329806 -0.0015181281065587819
28 0.027995829943615352 -0.025207558504705872 0.021750000000000002
29 0.0 -0.0 -0.0
30 0.017222405265730316 0.0134556176879887 -0.028606557106678008
31 0.021842232181473912 0.0007627475551944706 0.028606557106678008
32 0.009746857505452799 0.033991331646575265 0.006751899115132661
33 0.007475036971814736 -0.02053749528964943 0.028606557106678008
34 -0.00974685750545279 -0.033991331646575265 -0.006751899115132649
35 0.02786497681130169 0.021770505865612994 -0.006751899115132649
36 0.012094230083977054 -0.03322862406141571 0.006751899115132661
37 0.035339622070961 0.0012340867962654868 0.006751899115132661
38 0.018119068794061225 -0.012221466218848148 -0.028606557106678008
39 0.029315732849089143 -0.01977371148418795 -0.006751899115132649
40 -0.04018179657906759 -0.012284808050351606 0.01125862846195965
41 -0.0022596445603209918 -0.0431165867211667 0.005301316438123915
42 -0.042694278943975796 -0.0007452314110305168 -0.008300191298879699
43 -0.003937807250462665 -0.03746573333138167 -0.021749999999999988
44 -0.03758033771007904 -0.002627873207826292 -0.021749999999999988
45 -0.011193839348795483 0.004296912339966851 -0.041814883773316866
46 0.001555161539496047 -0.014796373671955205 0.040876629004187016
47 -0.030868877641858694 0.028785694093170805 0.010523602458585543
48 -0.010031511413018893 -0.03743811027009359 0.019748586738670283
49 -0.011842605411922157 -0.04130007316624589 -0.006804899229250049
50 -0.0019907498527212113 0.028469049244364455 -0.03282986673969058
51 -0.03358201427850427 -0.02180841506732789 -0.0169968040892834
52 -0.030218594425553694 -0.021159287610874593 0.02305148799414441
53 -0.032749894834336025 0.028469049244364455 -0.0030344066078694517
54 -0.016299863477099802 -0.026085234341057927 -0.030759144981614812
55 -0.03111986440162843 -0.003270829549504705 0.030217639114966385
56 -0.013874501214706838 0.01206091989975978 0.03942438873609427
57 -0.025513598351921074 0.022178632681294927 -0.02737543701066792
58 -0.028713648433293562 0.015916235226807244 0.02853856776108707
59 -0.014024389018774982 0.04072978314108369 0.006054029891762847
60 -0.0278649768113017 -0.021770505865612976 0.006751899115132661
61 -0.017222405265730323 -0.01345561768798869 0.028606557106678008
62 -0.021842232181473912 -0.0007627475551944831 -0.028606557106678008
63 -0.035339622070961 -0.001234086796265507 -0.006751899115132649
64 -0.0060242049065029005 -0.021008899203595513 -0.028606557106678008
65 -0.02931573284908915 0.019773711484187936 0.006751899115132661
66 0.006024204906502907 0.02100889920359551 0.028606557106678008
67 -0.012094230083977045 0.03322862406141571 -0.006751899115132649
68 -0.018119068794061232 0.01222146621884814 0.028606557106678008
69 -0.00747503697181473 0.020537495289649432 -0.028606557106678008
